# Matter power spectrum P(k) at redshift z=2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.936164904842e-02       4.477418249876e+03 
       1.949212842419e-02       4.471679434339e+03 
       1.962267140414e-02       4.465763652284e+03 
       1.975327914506e-02       4.459623743538e+03 
       1.988395283336e-02       4.453302050772e+03 
       2.001469368562e-02       4.446773976753e+03 
       2.014550294914e-02       4.440035739756e+03 
       2.027638190265e-02       4.433164256885e+03 
       2.040733185685e-02       4.426075962333e+03 
       2.053835415511e-02       4.418818964269e+03 
       2.066945017417e-02       4.411379811638e+03 
       2.080062132478e-02       4.403761072456e+03 
       2.093186905248e-02       4.395969648472e+03 
       2.106319483831e-02       4.388011454696e+03 
       2.119460019958e-02       4.379895149944e+03 
       2.132608669070e-02       4.371608801142e+03 
       2.145765590396e-02       4.363170195840e+03 
       2.158930947039e-02       4.354569991299e+03 
       2.172104906064e-02       4.345811655319e+03 
       2.185287638586e-02       4.336912877949e+03 
       2.198479319866e-02       4.327858659758e+03 
       2.211680129404e-02       4.318673589891e+03 
       2.224890251037e-02       4.309346249481e+03 
       2.238109873044e-02       4.299854652416e+03 
       2.251339188248e-02       4.290253423481e+03 
       2.264578394127e-02       4.280508344998e+03 
       2.277827692923e-02       4.270630692549e+03 
       2.291087291758e-02       4.260643133467e+03 
       2.304357402754e-02       4.250507906321e+03 
       2.317638243154e-02       4.240255896152e+03 
       2.330930035449e-02       4.229890448521e+03 
       2.344233007508e-02       4.219420950985e+03 
       2.357547392713e-02       4.208811302818e+03 
       2.370873430097e-02       4.198098052114e+03 
       2.384211364487e-02       4.187270740277e+03 
       2.397561446655e-02       4.176350172457e+03 
       2.410923933465e-02       4.165317558230e+03 
       2.424299088034e-02       4.154187847365e+03 
       2.437687179893e-02       4.142949287071e+03 
       2.451088485157e-02       4.131622613159e+03 
       2.464503286695e-02       4.120190365644e+03 
       2.477931874311e-02       4.108672786731e+03 
       2.491374544928e-02       4.097061984571e+03 
       2.504831602780e-02       4.085366030054e+03 
       2.518303359606e-02       4.073600326218e+03 
       2.531790134858e-02       4.061741629872e+03 
       2.545292255909e-02       4.049783158859e+03 
       2.558810058270e-02       4.037767633661e+03 
       2.572343885821e-02       4.025674466688e+03 
       2.585894091033e-02       4.013498110331e+03 
       2.599461035220e-02       4.001229044753e+03 
       2.613045088782e-02       3.988935272379e+03 
       2.626646631462e-02       3.976551669413e+03 
       2.640266052619e-02       3.964101258904e+03 
       2.653903751497e-02       3.951583570589e+03 
       2.667560137515e-02       3.939014953211e+03 
       2.681235630561e-02       3.926373516408e+03 
       2.694930661304e-02       3.913692545581e+03 
       2.708645671503e-02       3.900936947968e+03 
       2.722381114346e-02       3.888118745252e+03 
       2.736137454784e-02       3.875269598819e+03 
       2.749915169889e-02       3.862348434917e+03 
       2.763714749221e-02       3.849402903454e+03 
       2.777536695208e-02       3.836397747121e+03 
       2.791381523543e-02       3.823351507994e+03 
       2.805249763591e-02       3.810258309990e+03 
       2.819141958821e-02       3.797116367159e+03 
       2.833058667240e-02       3.783942449440e+03 
       2.847000461863e-02       3.770729754410e+03 
       2.860967931181e-02       3.757472657878e+03 
       2.874961679664e-02       3.744181779015e+03 
       2.888982328275e-02       3.730856070423e+03 
       2.903030515006e-02       3.717509828676e+03 
       2.917106895438e-02       3.704127809549e+03 
       2.931212143323e-02       3.690710415632e+03 
       2.945346951187e-02       3.677259361244e+03 
       2.959512030961e-02       3.663794533910e+03 
       2.973708114638e-02       3.650302077446e+03 
       2.987935954958e-02       3.636778436563e+03 
       3.002196326119e-02       3.623241910529e+03 
       3.016490024521e-02       3.609684868638e+03 
       3.030817869544e-02       3.596096352959e+03 
       3.045180704355e-02       3.582492173678e+03 
       3.059579396754e-02       3.568883137668e+03 
       3.074014840054e-02       3.555245913996e+03 
       3.088487954009e-02       3.541592210256e+03 
       3.102999685771e-02       3.527945618825e+03 
       3.117551010899e-02       3.514254936105e+03 
       3.132142934416e-02       3.500565837200e+03 
       3.146776491904e-02       3.486869646514e+03 
       3.161452750668e-02       3.473147774571e+03 
       3.176172810933e-02       3.459449375660e+03 
       3.190937807119e-02       3.445721163814e+03 
       3.205748909164e-02       3.431998204162e+03 
       3.220607323913e-02       3.418250544243e+03 
       3.235514296583e-02       3.404507828057e+03 
       3.250471112290e-02       3.390759186102e+03 
       3.265479097661e-02       3.377011920871e+03 
       3.280539622520e-02       3.363251953517e+03 
       3.295654101666e-02       3.349504227158e+03 
       3.310823996743e-02       3.335739473162e+03 
       3.326050818198e-02       3.321992248937e+03 
       3.341336127357e-02       3.308231605081e+03 
       3.356681538599e-02       3.294479486207e+03 
       3.372088721650e-02       3.280721246764e+03 
       3.387559404007e-02       3.266974817321e+03 
       3.403095373488e-02       3.253214255641e+03 
       3.418698480928e-02       3.239466042999e+03 
       3.434370643024e-02       3.225738693356e+03 
       3.450113845343e-02       3.212005350747e+03 
       3.465930145501e-02       3.198282434148e+03 
       3.481821676531e-02       3.184539721041e+03 
       3.497790650440e-02       3.170819192792e+03 
       3.513839361987e-02       3.157115865677e+03 
       3.529970192680e-02       3.143410095612e+03 
       3.546185615025e-02       3.129705050900e+03 
       3.562488197025e-02       3.116020270277e+03 
       3.578880606969e-02       3.102325147572e+03 
       3.595365618517e-02       3.088639440267e+03 
       3.611946116117e-02       3.074967087690e+03 
       3.628625100759e-02       3.061296634520e+03 
       3.645405696120e-02       3.047648811087e+03 
       3.662291155106e-02       3.033994113949e+03 
       3.679284866841e-02       3.020353101757e+03 
