# Matter power spectrum P(k) at redshift z=3.2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.949212842419e-02       2.324997375881e+03 
       1.962267140414e-02       2.321916009975e+03 
       1.975327914506e-02       2.318725232665e+03 
       1.988395283336e-02       2.315436689178e+03 
       2.001469368562e-02       2.312042718853e+03 
       2.014550294914e-02       2.308555111683e+03 
       2.027638190265e-02       2.304969372887e+03 
       2.040733185685e-02       2.301284986571e+03 
       2.053835415511e-02       2.297508108029e+03 
       2.066945017417e-02       2.293640177218e+03 
       2.080062132478e-02       2.289679227334e+03 
       2.093186905248e-02       2.285628007676e+03 
       2.106319483831e-02       2.281493579672e+03 
       2.119460019958e-02       2.277270182096e+03 
       2.132608669070e-02       2.272964099842e+03 
       2.145765590396e-02       2.268574636579e+03 
       2.158930947039e-02       2.264103096814e+03 
       2.172104906064e-02       2.259552458123e+03 
       2.185287638586e-02       2.254924210502e+03 
       2.198479319866e-02       2.250214726736e+03 
       2.211680129404e-02       2.245440969783e+03 
       2.224890251037e-02       2.240589589847e+03 
       2.238109873044e-02       2.235658676575e+03 
       2.251339188248e-02       2.230663058493e+03 
       2.264578394127e-02       2.225596194306e+03 
       2.277827692923e-02       2.220463776501e+03 
       2.291087291758e-02       2.215267140458e+03 
       2.304357402754e-02       2.209997952015e+03 
       2.317638243154e-02       2.204667266250e+03 
       2.330930035449e-02       2.199278009038e+03 
       2.344233007508e-02       2.193834322319e+03 
       2.357547392713e-02       2.188318218277e+03 
       2.370873430097e-02       2.182751447746e+03 
       2.384211364487e-02       2.177122927786e+03 
       2.397561446655e-02       2.171442434458e+03 
       2.410923933465e-02       2.165706164125e+03 
       2.424299088034e-02       2.159919418203e+03 
       2.437687179893e-02       2.154077439302e+03 
       2.451088485157e-02       2.148184934442e+03 
       2.464503286695e-02       2.142247317491e+03 
       2.477931874311e-02       2.136258416362e+03 
       2.491374544928e-02       2.130220676525e+03 
       2.504831602780e-02       2.124139086977e+03 
       2.518303359606e-02       2.118018918265e+03 
       2.531790134858e-02       2.111851505110e+03 
       2.545292255909e-02       2.105638251566e+03 
       2.558810058270e-02       2.099386402169e+03 
       2.572343885821e-02       2.093098842253e+03 
       2.585894091033e-02       2.086768010441e+03 
       2.599461035220e-02       2.080399712865e+03 
       2.613045088782e-02       2.073998437174e+03 
       2.626646631462e-02       2.067558195751e+03 
       2.640266052619e-02       2.061084781076e+03 
       2.653903751497e-02       2.054576385503e+03 
       2.667560137515e-02       2.048041953377e+03 
       2.681235630561e-02       2.041470045257e+03 
       2.694930661304e-02       2.034875478390e+03 
       2.708645671503e-02       2.028245887978e+03 
       2.722381114346e-02       2.021578736161e+03 
       2.736137454784e-02       2.014897824699e+03 
       2.749915169889e-02       2.008179882221e+03 
       2.763714749221e-02       2.001448970420e+03 
       2.777536695208e-02       1.994687168662e+03 
       2.791381523543e-02       1.987906550690e+03 
       2.805249763591e-02       1.981096315392e+03 
       2.819141958821e-02       1.974263361423e+03 
       2.833058667240e-02       1.967413808434e+03 
       2.847000461863e-02       1.960543942278e+03 
       2.860967931181e-02       1.953654056328e+03 
       2.874961679664e-02       1.946744201315e+03 
       2.888982328275e-02       1.939814964882e+03 
       2.903030515006e-02       1.932874890881e+03 
       2.917106895438e-02       1.925917756875e+03 
       2.931212143323e-02       1.918943942371e+03 
       2.945346951187e-02       1.911950527479e+03 
       2.959512030961e-02       1.904950648229e+03 
       2.973708114638e-02       1.897935144351e+03 
       2.987935954958e-02       1.890904421299e+03 
       3.002196326119e-02       1.883861451619e+03 
       3.016490024521e-02       1.876812788994e+03 
       3.030817869544e-02       1.869751512057e+03 
       3.045180704355e-02       1.862678661441e+03 
       3.059579396754e-02       1.855601182037e+03 
       3.074014840054e-02       1.848508199396e+03 
       3.088487954009e-02       1.841412651607e+03 
       3.102999685771e-02       1.834312077854e+03 
       3.117551010899e-02       1.827193759769e+03 
       3.132142934416e-02       1.820078367563e+03 
       3.146776491904e-02       1.812957064988e+03 
       3.161452750668e-02       1.805825722141e+03 
       3.176172810933e-02       1.798697909759e+03 
       3.190937807119e-02       1.791560074638e+03 
       3.205748909164e-02       1.784425000604e+03 
       3.220607323913e-02       1.777280349675e+03 
       3.235514296583e-02       1.770133802654e+03 
       3.250471112290e-02       1.762986390692e+03 
       3.265479097661e-02       1.755836312964e+03 
       3.280539622520e-02       1.748681339817e+03 
       3.295654101666e-02       1.741533396061e+03 
       3.310823996743e-02       1.734376574968e+03 
       3.326050818198e-02       1.727230916759e+03 
       3.341336127357e-02       1.720076475616e+03 
       3.356681538599e-02       1.712925582069e+03 
       3.372088721650e-02       1.705770817996e+03 
       3.387559404007e-02       1.698623352604e+03 
       3.403095373488e-02       1.691472579306e+03 
       3.418698480928e-02       1.684325446803e+03 
       3.434370643024e-02       1.677186081835e+03 
       3.450113845343e-02       1.670042616190e+03 
       3.465930145501e-02       1.662908737172e+03 
       3.481821676531e-02       1.655767247964e+03 
       3.497790650440e-02       1.648633112287e+03 
       3.513839361987e-02       1.641503550506e+03 
       3.529970192680e-02       1.634379365830e+03 
       3.546185615025e-02       1.627255671325e+03 
       3.562488197025e-02       1.620136481395e+03 
       3.578880606969e-02       1.613018435956e+03 
       3.595365618517e-02       1.605901915632e+03 
       3.611946116117e-02       1.598793402753e+03 
       3.628625100759e-02       1.591685809153e+03 
       3.645405696120e-02       1.584589631739e+03 
       3.662291155106e-02       1.577489726663e+03 
       3.679284866841e-02       1.570396519460e+03 
       3.696390364122e-02       1.563307608971e+03 
       3.713611331400e-02       1.556224240260e+03 
       3.730951613305e-02       1.549142085155e+03 
       3.748415223790e-02       1.542067226414e+03 
       3.766006355916e-02       1.534989645543e+03 
       3.783729392360e-02       1.527921867710e+03 
       3.801588916695e-02       1.520852099714e+03 
       3.819589725515e-02       1.513786135368e+03 
       3.837736841482e-02       1.506729538484e+03 
       3.856035527375e-02       1.499669252891e+03 
       3.874491301246e-02       1.492610904875e+03 
       3.893109952773e-02       1.485557690651e+03 
       3.911897560932e-02       1.478503814241e+03 
       3.930860513123e-02       1.471456486021e+03 
       3.950005525877e-02       1.464407284207e+03 
       3.969339667327e-02       1.457358895207e+03 
       3.988870381591e-02       1.450311510622e+03 
       4.008605515304e-02       1.443261692712e+03 
       4.028553346491e-02       1.436210855549e+03 
       4.048722616051e-02       1.429162453927e+03 
       4.069122562140e-02       1.422113897230e+03 
       4.089762957753e-02       1.415056574333e+03 
       4.110654151897e-02       1.408001655116e+03 
       4.131807114740e-02       1.400939305888e+03 
       4.153233487216e-02       1.393872957092e+03 
       4.174945635618e-02       1.386801346160e+03 
       4.196956711777e-02       1.379725282013e+03 
       4.219280719523e-02       1.372639372967e+03 
       4.241932588217e-02       1.365544273594e+03 
       4.264928254266e-02       1.358444084657e+03 
       4.288284751670e-02       1.351329520051e+03 
       4.312020312800e-02       1.344203877058e+03 
       4.336154480817e-02       1.337066705356e+03 
       4.360708235341e-02       1.329914796894e+03 
       4.385704133272e-02       1.322746121752e+03 
       4.411166466950e-02       1.315558625209e+03 
       4.437121442248e-02       1.308353783171e+03 
       4.463597379617e-02       1.301125147523e+03 
       4.490624941661e-02       1.293873867138e+03 
       4.518237391452e-02       1.286597934671e+03 
       4.546470886602e-02       1.279296170567e+03 
       4.575364815048e-02       1.271957406276e+03 
       4.604962179678e-02       1.264590842062e+03 
       4.635310040348e-02       1.257184082547e+03 
       4.666460023582e-02       1.249740501270e+03 
       4.698468912418e-02       1.242249542877e+03 
       4.731399331514e-02       1.234716884291e+03 
       4.765320545965e-02       1.227127897746e+03 
       4.800309396416e-02       1.219484684209e+03 
       4.836451398262e-02       1.211776860610e+03 
       4.873842039279e-02       1.204003684537e+03 
       4.912588318267e-02       1.196153867560e+03 
       4.952810577815e-02       1.188223449175e+03 
       4.994644697591e-02       1.180199220995e+03 
       5.038244731550e-02       1.172075599916e+03 
       5.083786094101e-02       1.163840417314e+03 
       5.131469427834e-02       1.155482607570e+03 
