# Matter power spectrum P(k) at redshift z=2.4
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.708645671503e-02       3.064960458572e+03 
       2.722381114346e-02       3.054887371214e+03 
       2.736137454784e-02       3.044791597798e+03 
       2.749915169889e-02       3.034639791902e+03 
       2.763714749221e-02       3.024468420491e+03 
       2.777536695208e-02       3.014250417532e+03 
       2.791381523543e-02       3.004003239679e+03 
       2.805249763591e-02       2.993712706755e+03 
       2.819141958821e-02       2.983387131850e+03 
       2.833058667240e-02       2.973036485736e+03 
       2.847000461863e-02       2.962655132013e+03 
       2.860967931181e-02       2.952242750672e+03 
       2.874961679664e-02       2.941801005193e+03 
       2.888982328275e-02       2.931328831743e+03 
       2.903030515006e-02       2.920842211621e+03 
       2.917106895438e-02       2.910328266027e+03 
       2.931212143323e-02       2.899790541314e+03 
       2.945346951187e-02       2.889221704841e+03 
       2.959512030961e-02       2.878644035497e+03 
       2.973708114638e-02       2.868042901557e+03 
       2.987935954958e-02       2.857418259897e+03 
       3.002196326119e-02       2.846775112499e+03 
       3.016490024521e-02       2.836123596540e+03 
       3.030817869544e-02       2.825453149090e+03 
       3.045180704355e-02       2.814765162554e+03 
       3.059579396754e-02       2.804069896502e+03 
       3.074014840054e-02       2.793351285010e+03 
       3.088487954009e-02       2.782629615136e+03 
       3.102999685771e-02       2.771900861801e+03 
       3.117551010899e-02       2.761144083568e+03 
       3.132142934416e-02       2.750391658288e+03 
       3.146776491904e-02       2.739630360593e+03 
       3.161452750668e-02       2.728852367076e+03 
       3.176172810933e-02       2.718082847369e+03 
       3.190937807119e-02       2.707296611900e+03 
       3.205748909164e-02       2.696514510353e+03 
       3.220607323913e-02       2.685715370763e+03 
       3.235514296583e-02       2.674918364438e+03 
       3.250471112290e-02       2.664117646617e+03 
       3.265479097661e-02       2.653312933569e+03 
       3.280539622520e-02       2.642500766766e+03 
